Gender,Student Age,Marital Status,Continent of Origin,Country of Origin (Nationality),Current Level of Education,Pursued Qualification,Type of University,Factors Influenced,Information Source,Previous Performance,Exam Preparatiom,Frequency of lectures Attendance,ASS Utilisation,Language of Instruction ,How satisfied are you with the feedback provided by your instructors on your academic work,How would you rate the level of academic support provided by faculty members in your department,Academic Rigour Perception, Technology Access ,Accommodation Type,Living Arrangements,Education Finance,After Studies,Quality of Education in Germany,Language Class Attendance,Levels of Language,Employment Status,District of Residence,Name of Institution,Course of Study,Religion,Spoken Languages,Satisfied Level
Female,26 - 35,Married,Russia,Russian,Bachelor´s Degree,Master´s Degree,Private,Foreign Exposure,"Commercial service, Consultant ",Good,"Reviewing Lecture Notes, Using Online Resources",Always,No,English,Neutral,Fair,More Challenging,"Yes, Always",Shared Apartment,Managing,"Personal Savings, Part - Time Job, Blocked Account",Seek Employment in Germany,Better,No,B1,Student,Berlin,BSBI,MBA,Christianity,"English, Russian, German",3
Male,36 -45,Single,Africa,Ghana,Master´s Degree,Master´s Degree,Private,Greener Pasture,Internet Search,Excellent,Reviewing Lecture Notes,Always,Yes,English,Neutral,Fair,More Challenging,"Yes, Always",Rented Flat,Managing,"Personal Savings, Part - Time Job, Blocked Account, Loans","Seek Employment in Germany, Pursue Further Education",Better,Yes,A1,Employed,Berlin,BSBI,Global MBA,Christianity,English,4
Male,56 -65,Married,Africa,Nigeria,Higher National Diploma,Master´s Degree,Public,Foreign Exposure,Conference / Workshop,Good,Participating in Study Groups,Always,,English,Satisfied,Good,Less Challenging,"Yes, Always",Shared Apartment,Satisfied,"Personal Savings, Part - Time Job",Others,Better,Yes,A2,Student,Deutschland,German University,,Christianity,English,4
Male,66 and Above,Married,Africa,Nigeria,Doctorate / PhD,Doctorate / PhD,None,"Better Education, Better Infrastucture, Foreign Exposure",Internet Search,Excellent,"Reviewing Lecture Notes, Participating in Study Groups, Using Online Resources",Always,Yes,English,Satisfied,Good,More Challenging,"Yes, most of the time",Student Hostel,Managing,"Personal Savings, Part - Time Job",Pursue Further Education,Better,No,NA,Unemployed,Berlin,,,Christianity,"English, Yoruba ",3
Male,26 - 35,Married,Europe,Belgium,"Bachelor´s Degree, Master´s Degree",Master´s Degree,Private,Foreign Exposure,Internet Search,"Excellent, Good","Reviewing Lecture Notes, Using Online Resources",Always,Yes,German + English,Neutral,Fair,Less Challenging,"Yes, most of the time",Shared Apartment,Managing,Personal Savings,Others,Bad,No,B2,Student,Berlin,BSBI,Data analytics,Christianity,"English, Russian, German",3
Male,26 - 35,Single,Africa,Ghana,Master´s Degree,Master´s Degree,Private,"Better Education, Better Infrastucture, Foreign Exposure, Greener Pasture",Internet Search,Good,"Reviewing Lecture Notes, Creating Study Guides, Using Online Resources",Always,No,English,Very Satisfied,Excellent,Similar,"Yes, Always",Shared Apartment,Managing,"Part - Time Job, Blocked Account",Seek Employment in Germany,Best,No,A1,Student,Berlin,BSBI,MSc Information Technology management,Christianity,English,4
Male,36 -45,Married,Africa,Ghana,Master´s Degree,Master´s Degree,Public,"Better Education, Better Infrastucture, Foreign Exposure, Greener Pasture","Internet Search, Academic Colleague",Excellent,"Reviewing Lecture Notes, Creating Study Guides, Participating in Study Groups, Using Online Resources",Always,Yes,English,Very Satisfied,Excellent,More Challenging,"Yes, Always",Student Hostel,Very Satisfied,"Personal Savings, Part - Time Job",Seek Employment in Germany,Best,Yes,A2,Employed,Berlin,University of Humboldt,Finance,Christianity,"English, Mandarin Chinese, German",5
Male,26 - 35,Single,Asia,India,Master´s Degree,Bachelor´s Degree,Private,"Better Education, Better Infrastucture, Foreign Exposure",Internet Search,Average / Fair,"Reviewing Lecture Notes, Creating Study Guides, Using Online Resources",Sometimes,No,English,Neutral,Fair,Less Challenging,"Yes, most of the time",Shared Apartment,Managing,"Part - Time Job, Blocked Account",Seek Employment in Germany,Good,No,A1,Student,Berlin,BSBI,Data analytics,Christianity,"English, Hindi",4
Male,"18 - 25, 26 - 35",Married,Africa,Ivory coast,"Bachelor´s Degree, Master´s Degree",Master´s Degree,Public,Family,Father,Excellent,"Reviewing Lecture Notes, Using Online Resources",Always,Yes,German,"Very Satisfied, Satisfied",Fair,More Challenging,"Yes, Always",Rented Flat,Satisfied,"Part - Time Job, Loans","Seek Employment in Germany, Pursue Further Education",Good,No,C2,Employed,Berlin,FU/ University of  Potsdam,"Master of science Math/ Math of education Math, Physics",Christianity,"English, French, German",4
Male,26 - 35,Married,Africa,Nigeria,Master´s Degree,Master´s Degree,Public,"Better Education, Better Infrastucture, Foreign Exposure, Greener Pasture",Through recommendations,Good,Using Online Resources,Sometimes,Yes,English,Very Satisfied,Excellent,More Challenging,"Yes, Always",Student Hostel,Very Satisfied,"Part - Time Job, Blocked Account",Seek Employment in Germany,Best,Yes,C1,Employed,Berlin,Brandenburgische Technische Universität Cottbus,Msc. Power Engineering,Christianity,"English, German",5
Male,56 -65,Married,Africa,Pakistan,Master´s Degree,Master´s Degree,Private,Foreign Exposure,Internet Search,Excellent,Reviewing Lecture Notes,Always,Yes,German + English,Satisfied,Excellent,Less Challenging,"Yes, most of the time",Shared Apartment,Managing,Blocked Account,Pursue Further Education,Better,Yes,B1,Student,State district,Bonn,Logistics &supply management,Christianity,English,3
Male,36 -45,Married,Asia,Indonesia,Master´s Degree,Master´s Degree,Private,Better Infrastucture,Internet Search,Excellent,Creating Study Guides,Always,Yes,English,Very Satisfied,Good,More Challenging,"Yes, Always",Shared Apartment,Managing,Blocked Account,Pursue Further Education,Better,Yes,A2,Student,Altstadt(Old Town),Technical university of Munich(Tum),Management & technology consumer science,Christianity,English,4
Male,56 -65,Married,Asia,Thailand,Master´s Degree,Master´s Degree,Private,Foreign Exposure,Internet Search,Good,Creating Study Guides,Always,Yes,English,Satisfied,Good,More Challenging,"Yes, most of the time",Shared Apartment,Managing,Blocked Account,Pursue Further Education,Better,Yes,B2,Student,Altstadt,University of Bonn,Agricultural and food economics,Christianity,English,3
Male,56 -65,Married,Asia,India,Master´s Degree,Master´s Degree,Private,Better Infrastucture,Internet Search,Excellent,Reviewing Lecture Notes,Always,Yes,English,Very Satisfied,Excellent,More Challenging,"Yes, Always",Shared Apartment,Managing,Blocked Account,Pursue Further Education,Better,Yes,B2,Student,Altstadt (Old Town),University at munchen(Lamu),American History,Christianity,English,3
Female,36 -45,Married,Asia,Thailand,Master´s Degree,Master´s Degree,Private,Foreign Exposure,Internet Search,Good,"Reviewing Lecture Notes, Using Online Resources",Always,Yes,English,Satisfied,Good,More Challenging,"Yes, Always",Shared Apartment,Satisfied,"Part - Time Job, Blocked Account","Seek Employment in Germany, Pursue Further Education",Best,Yes,A2,Student,Plagwitz,Lancaster University Leipzig,Cybersecurity,Christianity,"English, Thai",4
Female,36 -45,Single Parent,Africa,Ivory Coast,Master´s Degree,Master´s Degree,Private,"Better Education, Better Infrastucture, Foreign Exposure",Academic Colleague,Good,"Reviewing Lecture Notes, Using Online Resources",Always,Yes,English,Very Satisfied,Good,More Challenging,"Yes, most of the time",Shared Apartment,Satisfied,"Part - Time Job, Blocked Account","Seek Employment in Germany, Pursue Further Education",Best,Yes,A2,Student,Schwabing West,Ludwig-Maximilians-Universität München (LMU),Epidemiology,Christianity,"English, French",5
Male,56 -65,Married,North America,Isarvorstadt,Master´s Degree,Master´s Degree,Private,Foreign Exposure,Internet Search,Good,Reviewing Lecture Notes,Always,Yes,English,Satisfied,Excellent,More Challenging,"Yes, most of the time",Shared Apartment,Managing,Blocked Account,Pursue Further Education,Better,Yes,B2,Student,Sudvorstdt,Ludwig Maximilian university(Lamu),Physics Epidemiology,Christianity,English,3
Male,56 -65,Married,Africa,Tanzania,Master´s Degree,Master´s Degree,Private,Foreign Exposure,Internet Search,Excellent,Reviewing Lecture Notes,Always,Yes,English,Satisfied,Excellent,More Challenging,"Yes, Always",Shared Apartment,Managing,Blocked Account,Pursue Further Education,Better,Yes,B1,Student,Endenich,University of Bonn,Agricultural economics and social science,Christianity,English,4
Male,56 -65,Married,Africa,Ethiopia,Master´s Degree,Master´s Degree,Private,Better Education,Internet Search,Excellent,Reviewing Lecture Notes,Always,Yes,English,Satisfied,Good,Similar,"Yes, Always",Shared Apartment,Managing,Blocked Account,Pursue Further Education,Best,Yes,B1,Student,Endenich,University of Bonn,Agricultural economics and social science,Christianity,English,4
Male,56 -65,Married,Africa,Kenya,Master´s Degree,Master´s Degree,,Better Infrastucture,Internet Search,Good,Creating Study Guides,Always,Yes,English,Satisfied,Good,More Challenging,"Yes, most of the time",Shared Apartment,Managing,Blocked Account,Pursue Further Education,Better,Yes,B2,Student,Endenich,University of Bonn,Agricultural and social science,Christianity,English,4
Male,56 -65,Married,Asia,Plagwitz,Master´s Degree,Master´s Degree,Private,Foreign Exposure,Internet Search,Excellent,Reviewing Lecture Notes,Always,Yes,English,Satisfied,Excellent,More Challenging,"Yes, most of the time",Shared Apartment,Satisfied,Blocked Account,Pursue Further Education,Better,Yes,B2,Student,Plagwitz,Lancaster University Leipzig,Cyber security,Christianity,English,4
Male,46 - 55,Married,Asia,Oceania,Master´s Degree,Master´s Degree,Private,Foreign Exposure,Internet Search,Excellent,Creating Study Guides,Always,Yes,English,Very Satisfied,Excellent,Similar,"Yes, Always",Shared Apartment,Managing,Blocked Account,Pursue Further Education,Best,Yes,B1,Student,Reudnitz,Lancaster University of Leipzig,Logistics & supply chain mgt,Christianity,English,5
Male,56 -65,Married,Asia,Plagwitz,Master´s Degree,Master´s Degree,Private,Foreign Exposure,Internet Search,Excellent,Reviewing Lecture Notes,Always,Yes,English,Satisfied,Excellent,More Challenging,"Yes, most of the time",Shared Apartment,Satisfied,Blocked Account,Pursue Further Education,Better,Yes,B2,Student,Plagwitz,Lancaster University Leipzig,Cyber security,Christianity,English,4
Male,56 -65,Married,Africa,Lindenau,Master´s Degree,Master´s Degree,Private,Foreign Exposure,Internet Search,Excellent,Reviewing Lecture Notes,Always,Yes,English,Very Satisfied,Excellent,More Challenging,"Yes, most of the time",Shared Apartment,Satisfied,Blocked Account,Pursue Further Education,Best,Yes,B1,Student,Lindenau,Lancaster University of Leipzig,Data science,Christianity,English,5
Male,56 -65,Married,Africa,Oceania,Master´s Degree,Master´s Degree,Private,Better Infrastucture,Internet Search,Excellent,Creating Study Guides,Always,Yes,English,Satisfied,Excellent,More Challenging,"Yes, most of the time",Shared Apartment,Satisfied,Blocked Account,Pursue Further Education,Best,Yes,B2,Student,,Reudnitz,Logistics supply mgt,Christianity,English,3
Male,56 -65,Married,North America,North America,Master´s Degree,Master´s Degree,Private,Better Infrastucture,Internet Search,Excellent,Creating Study Guides,Always,Yes,English,Satisfied,Excellent,More Challenging,"Yes, most of the time",Shared Apartment,Managing,Blocked Account,Pursue Further Education,Better,Yes,B1,Student,Sudvorstdt,Lancaster University of Leipzig,Management cyber security,Christianity,English,4
Male,56 -65,Married,Asia,Turkey,Master´s Degree,Master´s Degree,Private,Foreign Exposure,Internet Search,Excellent,Reviewing Lecture Notes,Always,Yes,English,Very Satisfied,Excellent,More Challenging,"Yes, Always",Shared Apartment,Managing,Blocked Account,Pursue Further Education,Best,Yes,B2,Student,Altstadt Old Town,Ludwig Maximilian university munchen ( Lamu),America history,Christianity,English,4
Male,56 -65,Married,Africa,Tanzania,Master´s Degree,Master´s Degree,Private,Better Education,Internet Search,Excellent,Reviewing Lecture Notes,Always,Yes,English,Satisfied,Excellent,Less Challenging,"Yes, most of the time",Shared Apartment,Very Satisfied,Blocked Account,Pursue Further Education,Better,Yes,B2,Student,Scwabing west,Ludwig Maximilian university munchen ( Lamu),Quantitative Economics,Christianity,English,5
Male,56 -65,Married,Africa,Ethiopia,Master´s Degree,Master´s Degree,Private,Foreign Exposure,Internet Search,Excellent,Participating in Study Groups,Always,Yes,English,Satisfied,Excellent,More Challenging,"Yes, Always",Shared Apartment,Managing,Blocked Account,Pursue Further Education,Best,Yes,C1,Student,Ludwig vorstadt,Ludwig Maximilian university of munchen (Lmu),Bioinformatics,Christianity,English,4
Male,56 -65,Married,Asia,Pakistan,Master´s Degree,Master´s Degree,Private,Foreign Exposure,Internet Search,Excellent,Reviewing Lecture Notes,Always,Yes,English,Satisfied,Excellent,Similar,"Yes, Always",Shared Apartment,Managing,Blocked Account,Pursue Further Education,Best,Yes,B1,Student,Pakistan,Lancaster University Leipzig,Cyber security,Christianity,English,3
Male,56 -65,Married,Asia,Asia,Master´s Degree,Master´s Degree,Private,Foreign Exposure,Internet Search,Good,Participating in Study Groups,Always,Yes,English,Very Satisfied,Excellent,Less Challenging,"Yes, most of the time",Shared Apartment,Managing,Blocked Account,Pursue Further Education,Better,Yes,B1,Student,Altstadt,University of Bonn,Agricultural and food economics,Christianity,English,4
Male,56 -65,Married,Asia,Asia,Master´s Degree,Master´s Degree,Private,Better Infrastucture,Internet Search,Excellent,Reviewing Lecture Notes,Always,Yes,English,Very Satisfied,Excellent,Similar,"Yes, most of the time",Shared Apartment,Managing,Blocked Account,Pursue Further Education,Better,Yes,B1,Student,Pakistan,Lancaster University Leipzig,Cyber security,Christianity,English,4
Male,56 -65,Married,Europe,Austria,Master´s Degree,Master´s Degree,Private,Better Infrastucture,Internet Search,Good,Creating Study Guides,Always,Yes,English,Satisfied,Excellent,Similar,"Yes, most of the time",Shared Apartment,Managing,Blocked Account,Pursue Further Education,Better,Yes,B2,Student,Europe,Fom university of applied science Barlin,Cyber security management,Christianity,English,4
Male,56 -65,Married,Europe,Belgium,Master´s Degree,Master´s Degree,Private,Better Infrastucture,Internet Search,Excellent,Participating in Study Groups,Always,Yes,English,Very Satisfied,Good,More Challenging,,Shared Apartment,Satisfied,Blocked Account,Pursue Further Education,Better,Yes,B2,Student,Europe,Fom. University of applied science Barlin,Business analytics,Christianity,English,3
Male,56 -65,Married,Europe,Greece,Master´s Degree,Master´s Degree,Private,Better Education,Internet Search,Excellent,Reviewing Lecture Notes,Always,Yes,English,Satisfied,Excellent,More Challenging,"Yes, most of the time",Shared Apartment,Managing,Blocked Account,Pursue Further Education,Better,Yes,B2,Student,Europe,Fom university of applied science Barlin,Business analytics,Christianity,English,4
Male,56 -65,Married,Europe,Denmark,Master´s Degree,Master´s Degree,Private,Foreign Exposure,Internet Search,Excellent,Reviewing Lecture Notes,Always,Yes,English,Satisfied,Good,More Challenging,"Yes, Always",Shared Apartment,Managing,Blocked Account,Pursue Further Education,Better,Yes,B2,Student,Europe,Fom university of applied science Barlin,Cyber security management,Christianity,English,4
Male,56 -65,Married,Europe,Finland,Master´s Degree,Master´s Degree,Private,Better Education,Internet Search,Excellent,Participating in Study Groups,Always,Yes,English,Satisfied,Excellent,More Challenging,"Yes, most of the time",Shared Apartment,Managing,Blocked Account,Pursue Further Education,Best,Yes,B1,Student,Austria,Fom university of applied science Barlin,Cyber security,Christianity,English,3
Male,56 -65,Married,Europe,Greece,Master´s Degree,Master´s Degree,Private,Better Infrastucture,Internet Search,Good,Creating Study Guides,Always,Yes,English,Satisfied,Excellent,Less Challenging,"Yes, most of the time",Shared Apartment,Managing,Blocked Account,Pursue Further Education,Better,Yes,B2,Student,Europe,Akad university Barlin,Mechanical engineering,Christianity,English,4
Male,56 -65,Married,Europe,Belgium,Master´s Degree,Master´s Degree,Private,Foreign Exposure,Internet Search,Excellent,Reviewing Lecture Notes,Always,Yes,English,Satisfied,Good,Less Challenging,"Yes, most of the time",Shared Apartment,Managing,Blocked Account,Pursue Further Education,Better,Yes,B1,Student,Europe,Akad university of Barlin,Online marketing,Christianity,English,4
Male,56 -65,Married,Europe,Greece,Master´s Degree,Master´s Degree,Private,Better Infrastucture,Internet Search,Excellent,Reviewing Lecture Notes,Always,Yes,English,Satisfied,Good,Less Challenging,"Yes, Always",Shared Apartment,Managing,Blocked Account,Pursue Further Education,Best,Yes,C1,Student,Denmark,Akad university of Barlin,Industrial engineering,Christianity,English,4
Male,56 -65,Married,Europe,Austria,Master´s Degree,Master´s Degree,Private,Better Infrastucture,Internet Search,Excellent,Reviewing Lecture Notes,Always,Yes,English,Satisfied,Good,Similar,"Yes, most of the time",Shared Apartment,Managing,Blocked Account,Pursue Further Education,Better,Yes,B2,Student,Europe,Akad university of Barlin,Intelligent Data science,Christianity,English,4
Male,56 -65,Married,Europe,Europe,Master´s Degree,Master´s Degree,Private,Better Infrastucture,Internet Search,Excellent,Reviewing Lecture Notes,Always,Yes,English,Satisfied,Good,Similar,"No, occasionally",Shared Apartment,Satisfied,Blocked Account,Pursue Further Education,Better,Yes,B2,Student,Poland,Berlin international University of Applied,Cyber security Big Data and Africa Intelligence,Christianity,English,4
Male,56 -65,Married,Europe,Europe,Master´s Degree,Master´s Degree,Private,Better Education,Internet Search,Good,Creating Study Guides,Always,Yes,English,Satisfied,Excellent,More Challenging,"Yes, Always",Shared Apartment,Managing,Blocked Account,Pursue Further Education,Better,Yes,B2,Student,Italy,Berlin international University of Applied,Applied data science and analysis supply Chain,Christianity,English,4
Male,56 -65,Married,Europe,Europe,Master´s Degree,Master´s Degree,Private,Foreign Exposure,Internet Search,Excellent,Reviewing Lecture Notes,Always,Yes,English,Satisfied,Excellent,More Challenging,"Yes, Always",Shared Apartment,Managing,Blocked Account,Pursue Further Education,Best,Yes,B1,Student,Hungary,"SRH Distance learning university, Berlin ",Applied data science and analysis supply Chain,Christianity,English,4
Male,56 -65,Married,Europe,Austria,Master´s Degree,Master´s Degree,Private,Better Infrastucture,Internet Search,Excellent,Reviewing Lecture Notes,Always,Yes,English,Very Satisfied,Excellent,Similar,"Yes, most of the time",Shared Apartment,Satisfied,Blocked Account,Pursue Further Education,Better,Yes,B1,Student,Europe,Fom university of applied science Berlin,Cyber security management,Christianity,English,3
Male,56 -65,Married,Europe,Greece,Master´s Degree,Master´s Degree,Private,Better Education,Internet Search,Excellent,Reviewing Lecture Notes,Always,Yes,English,Satisfied,Good,More Challenging,"Yes, most of the time",Shared Apartment,Satisfied,Blocked Account,Pursue Further Education,Best,Yes,B2,Student,Europe,Akad university Berlin,Industrial engineering,Christianity,English,5
